section_num,district,address,phone,judge_name,schedule,boundary_text
2,Канавинский район,"603950, г. Н.Новгород, ул. Советская, 13",2460501,Бережнова Юлия Юрьевна	Время работы с,"Время работы с 8-00 до 17-00, в пятницу до 16-00
Часы приема граждан и организаций Помощник мирового судьи в течение всего рабочего дня
Границы участка: Улицы: Авангардная, Айвазовского - дома N 4, 4лс, 5, 6, 6лс, 7, 7лс, 8, 8лс, 9, 10, Актюбинская, Аэродромная, Балаковская, Ближняя, Болотникова - дома с N 2 по N 7, 9, Брестская, Военкомовская, Вторчермета, Высоковольтная, Вязниковская, Гродненская, Знаменская, Касимовская, Коллективная, Конотопская, Крановая, Краснокамская, Кузбасская, Курортная, Лесной Городок, Линейная, Матросова Александра, Металлистов, Металлургическая, Овчинникова, Орская, Осипенко, Передовая, Пулковская, Пурехская, Ракетная, Репина, Рижская, Серова, Тбилисская, Тихорецкая, Фибролитовая, Череповецкая, Щорса, Электровозная, Юрьевецкая, Ядринская, Якорная. Шоссе: Жиркомбината, Комсомольское - дом N 7. Переулки: Камчатский, Навашинский, Спортсменский, Степной, Шланговый. Проезд Базовый. Поселок Юдинцева.","Улицы: Авангардная, Айвазовского - дома N 4, 4лс, 5, 6, 6лс, 7, 7лс, 8, 8лс, 9, 10, Актюбинская, Аэродромная, Балаковская, Ближняя, Болотникова - дома с N 2 по N 7, 9, Брестская, Военкомовская, Вторчермета, Высоковольтная, Вязниковская, Гродненская, Знаменская, Касимовская, Коллективная, Конотопская, Крановая, Краснокамская, Кузбасская, Курортная, Лесной Городок, Линейная, Матросова Александра, Металлистов, Металлургическая, Овчинникова, Орская, Осипенко, Передовая, Пулковская, Пурехская, Ракетная, Репина, Рижская, Серова, Тбилисская, Тихорецкая, Фибролитовая, Череповецкая, Щорса, Электровозная, Юрьевецкая, Ядринская, Якорная. Шоссе: Жиркомбината, Комсомольское - дом N 7. Переулки: Камчатский, Навашинский, Спортсменский, Степной, Шланговый. Проезд Базовый. Поселок Юдинцева."
3,Канавинский район,"603950, г. Н.Новгород, ул. Советская, 13",2468417,Романова Инна Анатольевна	Время работы с,"Время работы с 8-00 до 17-00, в пятницу до 16-00
Часы приема граждан и организаций Мировой судья: понедельник 15.00-17.00; вторник – четверг 09.00-10.00. Помощник мирового судьи в течение всего рабочего дня
Границы участка: Бульвар Мещерский. Улицы: Волжская набережная, Пролетарская, Сергея Акимова","Бульвар Мещерский. Улицы: Волжская набережная, Пролетарская, Сергея Акимова"
4,Канавинский район,"603950, г. Н.Новгород, ул. Гордеевская, 42",2415469,Сохраннова Раиса Аркадьевна	Время работы с,"Время работы с 8-00 до 17-00, в пятницу до 16-00
Часы приема граждан и организаций Мировой судья: понедельник 15.00-17.00; вторник – четверг 09.00-10.00. Помощник мирового судьи в течение всего рабочего дня
Границы участка: Бульвар Мира. Площадь Ленина. Улицы: Должанская, Карла Маркса, Мурашкинская, Сергея Есенина, Совнаркомовская, Стрелка.","Бульвар Мира. Площадь Ленина. Улицы: Должанская, Карла Маркса, Мурашкинская, Сергея Есенина, Совнаркомовская, Стрелка."
5,Канавинский район,"603950, г. Н.Новгород, ул. Советская, 13",2460522,Шарова Ирина Леонидовна	Время работы с,"Время работы с 8-00 до 17-00, в пятницу до 16-00
Часы приема граждан и организаций Мировой судья: понедельник – четверг 15.00-16.00. Помощник мирового судьи в течение всего рабочего дня
Границы участка: Проспект Ленина. Улицы: Анри Барбюса, Артемовская, Архимеда, Бакунина, Брянская, Весенняя, Витебская, Власть Советов, Войкова, Вольская, Григорьева, Докучаева, Жуковского, Зеленая, Зеленодольская - дома N 11, 13, 26, 28, 30, с N 34 по N 37, 39, с N 41 по N 43, с N 45 по N 47, с N 52 по N 54, 54а, 55, 56, 59, с N 63 по N 65, 65а, 66, 67, 69, 71, 73, 75, 77, 80, с N 82 по N 86, 89, 89а, с N 91 по N 98, с N 100 по N 103, 106, 108, 112, 114, с N 116 по N 124, с N 126 по N 144, 146, Искры, Июльских дней, Калужская, Карла Либкнехта, Климовская, Красина, Ладыгина, Ледокола ""Садко"", Литературная, Менделеева - дома N 14, 17, 19, 20, 21, с N 23 по N 27, Морская, Муромская, Напольно-выставочная, Немировича-Данченко, Обухова - дома N 21, 25, 27, 32, 33, 34, 39, 41, 49, 49а, 51, Пахомова Николая - дома N 24, 33, 35, с N 37 по N 49, 51, 52, 61, 62, 63, 64, 65, 66, 66а, 67, 68, 68а, 70а, 71, 73, Петра Алексеева, Полоцкая, Прокатная, Рубо, Самарина, Сивашская, Симферопольская, Солнечная, Спартака, Спортивная, Тамбовская, Тираспольская, Узбекская, Украинская, Чонгарская. Переулки: Балаклавский, Бодайбинский, Ботанический, Бунтарский, Врачебный, Костромской, Курганский, Рубо, Саратовский, Сивашский, Товарный, Туркменский, Холодильный.","Проспект Ленина. Улицы: Анри Барбюса, Артемовская, Архимеда, Бакунина, Брянская, Весенняя, Витебская, Власть Советов, Войкова, Вольская, Григорьева, Докучаева, Жуковского, Зеленая, Зеленодольская - дома N 11, 13, 26, 28, 30, с N 34 по N 37, 39, с N 41 по N 43, с N 45 по N 47, с N 52 по N 54, 54а, 55, 56, 59, с N 63 по N 65, 65а, 66, 67, 69, 71, 73, 75, 77, 80, с N 82 по N 86, 89, 89а, с N 91 по N 98, с N 100 по N 103, 106, 108, 112, 114, с N 116 по N 124, с N 126 по N 144, 146, Искры, Июльских дней, Калужская, Карла Либкнехта, Климовская, Красина, Ладыгина, Ледокола ""Садко"", Литературная, Менделеева - дома N 14, 17, 19, 20, 21, с N 23 по N 27, Морская, Муромская, Напольно-выставочная, Немировича-Данченко, Обухова - дома N 21, 25, 27, 32, 33, 34, 39, 41, 49, 49а, 51, Пахомова Николая - дома N 24, 33, 35, с N 37 по N 49, 51, 52, 61, 62, 63, 64, 65, 66, 66а, 67, 68, 68а, 70а, 71, 73, Петра Алексеева, Полоцкая, Прокатная, Рубо, Самарина, Сивашская, Симферопольская, Солнечная, Спартака, Спортивная, Тамбовская, Тираспольская, Узбекская, Украинская, Чонгарская. Переулки: Балаклавский, Бодайбинский, Ботанический, Бунтарский, Врачебный, Костромской, Курганский, Рубо, Саратовский, Сивашский, Товарный, Туркменский, Холодильный."
6,Канавинский район,"603950, г. Н.Новгород, ул. Советская, 13",2754768,Савинова Ольга Александровна	Время работы с,"Время работы с 8-00 до 17-00, в пятницу до 16-00
Часы приема граждан и организаций Мировой судья: понедельник 15.00-17.00; вторник – четверг 09.00-10.00. Помощник мирового судьи в течение всего рабочего дня
Границы участка: Площадь Революции. Улицы: Братьев Матусовых, Вокзальная, Даля, Долгополова, Зеленодольская - дома N 14, 18, 20, 22, Интернациональная, Канавинская, Коммунистическая, Красный Цинковальщик, Литвинова, Луначарского, Мануфактурная, Марата, Обухова - дома с N 2 по N 5, 8, 10, 13, 15, 15а, 17, 19, 20, Пахомова Николая - дома N 4, 4а, с N 5 по N 7, 9, 20, Пешкова Алеши, Приокская, Прокофьева, Революционная, Романова Ивана, Рутковского Бориса, Советская, Фильченкова, Чкалова.","Площадь Революции. Улицы: Братьев Матусовых, Вокзальная, Даля, Долгополова, Зеленодольская - дома N 14, 18, 20, 22, Интернациональная, Канавинская, Коммунистическая, Красный Цинковальщик, Литвинова, Луначарского, Мануфактурная, Марата, Обухова - дома с N 2 по N 5, 8, 10, 13, 15, 15а, 17, 19, 20, Пахомова Николая - дома N 4, 4а, с N 5 по N 7, 9, 20, Пешкова Алеши, Приокская, Прокофьева, Революционная, Романова Ивана, Рутковского Бориса, Советская, Фильченкова, Чкалова."
7,Канавинский район,"603950, г. Н.Новгород, пер. Камчатский, д.5",2292243,Хазов Евгений Константинович	Время работы с,"Время работы с 8-00 до 17-00, в пятницу до 16-00
Часы приема граждан и организаций Мировой судья: понедельник – четверг 15.00-18.00; пятница 09.00-12.00. Помощник мирового судьи в течение всего рабочего дня
Границы участка: Улицы: Айвазовского - дома N 2, 10а, 11, 14, 16, с N 18 по N 20, 20а, с N 21 по N 26, 28, 30, 32, Архангельская, Балтийская, Болотникова - дома N 1, 19, 35, 37, 39, 41, 43, 45, с N 47 по N 73, Гороховецкая, Горочная, Губкина, Движенцев, Декабристов, Диспетчерская, Запрудная, Заречная, Качалова, Кишиневская, Клубная, Кольцевая, Кузовная, Лазо, Лебедева-Кумача, Невельская, Пархоменко, Подворная, Путейская, Семафорная, Сигнальная, Слуцкая, Таллинская, Тепличная, Тормозная, Ухтомского, Фонвизина. Шоссе Московское - дома N 302 - 350. Поселки: Орджоникидзе, Тепличный. Платформа 429 км.","Улицы: Айвазовского - дома N 2, 10а, 11, 14, 16, с N 18 по N 20, 20а, с N 21 по N 26, 28, 30, 32, Архангельская, Балтийская, Болотникова - дома N 1, 19, 35, 37, 39, 41, 43, 45, с N 47 по N 73, Гороховецкая, Горочная, Губкина, Движенцев, Декабристов, Диспетчерская, Запрудная, Заречная, Качалова, Кишиневская, Клубная, Кольцевая, Кузовная, Лазо, Лебедева-Кумача, Невельская, Пархоменко, Подворная, Путейская, Семафорная, Сигнальная, Слуцкая, Таллинская, Тепличная, Тормозная, Ухтомского, Фонвизина. Шоссе Московское - дома N 302 - 350. Поселки: Орджоникидзе, Тепличный. Платформа 429 км."
8,Канавинский район,"603950, г. Н.Новгород, ул.Советская, 13",2468475,,"Время работы: с 8-00 до 17-00, в пятницу до 16-00
Часы приема граждан и организаций Мировой судья: понедельник 15.00-17.00; вторник – четверг 09.00-10.00. Помощник мирового судьи в течение всего рабочего дня
Границы участка: Улицы: Бетанкура, Журова, Керченская, Октябрьской Революции - дома с N 1 по N 4, 6, 10, 11, с N 13 по N 19, 21, 27, 35, 37, с N 39 по N 42, 51, 56, 58, 60, 64, 64а, 66, Сибирская. Шоссе Московское - дома с N 1а по N 55, 56, 58, 82, 84, 84а, 86, 104, 108, 108а, 110, 126, 128, 130, 132, 134, 140, 142, 146, 232а, 234а, 236а, 250, 262, 266, 280, 282, 284, 288, 290, 292, 294а, 296. Переулок Портовый. Проезд Ярмарочный.

Ленинский район","Улицы: Бетанкура, Журова, Керченская, Октябрьской Революции - дома с N 1 по N 4, 6, 10, 11, с N 13 по N 19, 21, 27, 35, 37, с N 39 по N 42, 51, 56, 58, 60, 64, 64а, 66, Сибирская. Шоссе Московское - дома с N 1а по N 55, 56, 58, 82, 84, 84а, 86, 104, 108, 108а, 110, 126, 128, 130, 132, 134, 140, 142, 146, 232а, 234а, 236а, 250, 262, 266, 280, 282, 284, 288, 290, 292, 294а, 296. Переулок Портовый. Проезд Ярмарочный.

Ленинский район"
1,Ленинский район,"603950, г. Н.Новгород, ул. Памирская 13",2508868,"Поляшова Лариса Павловна	
Время работы","Время работы: с 8-00 до 17-00, в пятницу до 16-00
Часы приема граждан: Помощник мирового судьи в течение всего рабочего дня
Границы участка: Проспект Ленина - дома с N 75 по N 93 (нечетные с корпусами), с N 62 по N 82 (четные с корпусами). Улицы: Балакирева, Боевая, Геройская, Грекова, Грубе, Дизелестроительная, Ермака, Карповская, Композиторская, Адмирала Нахимова, Партизанская, Паскаля, Подводников - дома с N 5 по N 23 (нечетные), с N 2 по N 26 (четные), Попова героя, Порядковая, Ремесленная, Робеспьера, Суздальская, Таганская, Успенского Глеба, Шекспира. Переулки: Грекова, Ермака, Паскаля, Райниса, Суздальский. Проезд Восточный. Территории предприятий: ОАО ""ПКО ""Теплообменник"" (пр. Ленина, 93), ОАО ""РУМО"" (ул. Адмирала Нахимова, 13), механический завод N 1 ОАО ""Климатехника"" (Восточный проезд, 11), ФГУП ""Нижегородское протезно-ортопедическое предприятие"" Росздрава (ул. Порядковая, 2б), нижегородский филиал ЗАО ""Хромтан"" (ул. Шекспира, 12), ОАО ""Домоуправляющая компания Ленинского района"" (ул. Таганская, 10/1) и другие предприятия и учреждения, находящиеся на обслуживаемой территории, кроме ул. Новикова-Прибоя. Парк ""Дубки"". МОУ средние общеобразовательные школы N 72, 160.","Проспект Ленина - дома с N 75 по N 93 (нечетные с корпусами), с N 62 по N 82 (четные с корпусами). Улицы: Балакирева, Боевая, Геройская, Грекова, Грубе, Дизелестроительная, Ермака, Карповская, Композиторская, Адмирала Нахимова, Партизанская, Паскаля, Подводников - дома с N 5 по N 23 (нечетные), с N 2 по N 26 (четные), Попова героя, Порядковая, Ремесленная, Робеспьера, Суздальская, Таганская, Успенского Глеба, Шекспира. Переулки: Грекова, Ермака, Паскаля, Райниса, Суздальский. Проезд Восточный. Территории предприятий: ОАО ""ПКО ""Теплообменник"" (пр. Ленина, 93), ОАО ""РУМО"" (ул. Адмирала Нахимова, 13), механический завод N 1 ОАО ""Климатехника"" (Восточный проезд, 11), ФГУП ""Нижегородское протезно-ортопедическое предприятие"" Росздрава (ул. Порядковая, 2б), нижегородский филиал ЗАО ""Хромтан"" (ул. Шекспира, 12), ОАО ""Домоуправляющая компания Ленинского района"" (ул. Таганская, 10/1) и другие предприятия и учреждения, находящиеся на обслуживаемой территории, кроме ул. Новикова-Прибоя. Парк ""Дубки"". МОУ средние общеобразовательные школы N 72, 160."
2,"Границы участка: Проспект Ленина - дома с N 75 по N 93 (нечетные с корпусами), с N 62 по N 82 (четные с корпусами). Улицы: Балакирева, Боевая, Геройская, Грекова, Грубе, Дизелестроительная, Ермака, Карповская, Композиторская, Адмирала Нахимова, Партизанская, Паскаля, Подводников - дома с N 5 по N 23 (нечетные), с N 2 по N 26 (четные), Попова героя, Порядковая, Ремесленная, Робеспьера, Суздальская, Таганская, Успенского Глеба, Шекспира. Переулки: Грекова, Ермака, Паскаля, Райниса, Суздальский. Проезд Восточный. Территории предприятий: ОАО ""ПКО ""Теплообменник"" (пр. Ленина, 93), ОАО ""РУМО"" (ул. Адмирала Нахимова, 13), механический завод N 1 ОАО ""Климатехника"" (Восточный проезд, 11), ФГУП ""Нижегородское протезно-ортопедическое предприятие"" Росздрава (ул. Порядковая, 2б), нижегородский филиал ЗАО ""Хромтан"" (ул. Шекспира, 12), ОАО ""Домоуправляющая компания Ленинского района"" (ул. Таганская, 10/1) и другие предприятия и учреждения, находящиеся на обслуживаемой территории, кроме ул. Новикова-Прибоя. Парк ""Дубки"". МОУ средние общеобразовательные школы N 72, 160.","603950, г. Н.Новгород, ул. Памирская, 13",2508564,"Ляшкова Юлия Николаевна	
Время работы","Время работы: понедельник, четверг 08.00-10.00; вторник, среда 15.00-17.00
Часы приема граждан: Помощник мирового судьи в течение всего рабочего дня
Границы участка: Проспект Ленина - дома с N 47 по N 73 (нечетные с корпусами). Улицы: Гурьевская, Кружковская, Новикова-Прибоя, Радио - дома N 6, 7, 8, 9, Снежная - дома с N 19 по N 35 (нечетные с корпусами), с N 61 по N 71 (нечетные), Счастливая, Флотская, Херсонская. МОУ средние общеобразовательные школы N 184, 60. МОУ ""Специальная общеобразовательная школа N 107"". Территории предприятий: ООО ""Нижегородский дом и К"" (ул. Новикова-Прибоя, 4), производство коробок скоростей ЗАТМ ОАО ""ГАЗ"" (ул. Новикова-Прибоя, 18), ООО ""Завод штампов и пресс-форм"" (ул. Новикова-Прибоя, 20) и другие предприятия и учреждения, находящиеся на обслуживаемой территории.","Проспект Ленина - дома с N 47 по N 73 (нечетные с корпусами). Улицы: Гурьевская, Кружковская, Новикова-Прибоя, Радио - дома N 6, 7, 8, 9, Снежная - дома с N 19 по N 35 (нечетные с корпусами), с N 61 по N 71 (нечетные), Счастливая, Флотская, Херсонская. МОУ средние общеобразовательные школы N 184, 60. МОУ ""Специальная общеобразовательная школа N 107"". Территории предприятий: ООО ""Нижегородский дом и К"" (ул. Новикова-Прибоя, 4), производство коробок скоростей ЗАТМ ОАО ""ГАЗ"" (ул. Новикова-Прибоя, 18), ООО ""Завод штампов и пресс-форм"" (ул. Новикова-Прибоя, 20) и другие предприятия и учреждения, находящиеся на обслуживаемой территории."
3,"Границы участка: Проспект Ленина - дома с N 75 по N 93 (нечетные с корпусами), с N 62 по N 82 (четные с корпусами). Улицы: Балакирева, Боевая, Геройская, Грекова, Грубе, Дизелестроительная, Ермака, Карповская, Композиторская, Адмирала Нахимова, Партизанская, Паскаля, Подводников - дома с N 5 по N 23 (нечетные), с N 2 по N 26 (четные), Попова героя, Порядковая, Ремесленная, Робеспьера, Суздальская, Таганская, Успенского Глеба, Шекспира. Переулки: Грекова, Ермака, Паскаля, Райниса, Суздальский. Проезд Восточный. Территории предприятий: ОАО ""ПКО ""Теплообменник"" (пр. Ленина, 93), ОАО ""РУМО"" (ул. Адмирала Нахимова, 13), механический завод N 1 ОАО ""Климатехника"" (Восточный проезд, 11), ФГУП ""Нижегородское протезно-ортопедическое предприятие"" Росздрава (ул. Порядковая, 2б), нижегородский филиал ЗАО ""Хромтан"" (ул. Шекспира, 12), ОАО ""Домоуправляющая компания Ленинского района"" (ул. Таганская, 10/1) и другие предприятия и учреждения, находящиеся на обслуживаемой территории, кроме ул. Новикова-Прибоя. Парк ""Дубки"". МОУ средние общеобразовательные школы N 72, 160.","603950, г. Н.Новгород, ул. Памирская, 13",2507434,Хорцев Тимур Олегович	Время работы с,"Время работы с 8-00 до 17-00, в пятницу до 16-00
Часы приема граждан и организаций Мировой судья: понедельник, четверг 08.00-10.00; вторник, среда 15.00-17.00. Помощник мирового судьи в течение всего рабочего дня
Границы участка: Улицы: Авиаторская, Аксакова, Алма-Атинская, Ангарская, Армавирская, Белорусская, Волочильная, Воронихина, Газетная, Гвоздильная, Дачная, 2-я Дачная, Днепропетровская, Донбасская, Дружбы - дома с N 1 по N 13 (нечетные), с N 2 по N 40 (четные), Завкомовская, Замковая, Заозерная, Застройщиков, Зейская, Игарская, Ижевская, Ильменская, Кировская - дома с N 17 по N 109 (нечетные), с N 18 по N 110 (четные), Кисловодская, Красногвардейская, Краснознаменная, Красноэтновская, Кременчугская, Лагерная, Лермонтова, Лоцманская, Молодая Гвардия, Минская, Можайская, Национальная, Обводная, Огарева, Палехская, Пермская, Писарева, Пограничников, Подольская, Политотдельская, Порт-Артурская, Премудрова, Ростовская, Рылеева, Севастопольская, Серпуховская, Смоленская, Снежная - дома с N 20 по N 112 (четные), Станкозаводская, Тельмана, Удмуртская, Уржумская, Усольская, Читинская, Юношеская. Шоссе Комсомольское (со стороны территории Ленинского района). Переулки: 2-й Дачный; Каракумский; Красноэтновский. Территории предприятий: ОАО ""Завод ""Красная Этна"" (ул. Порт-Артурская, 1), Нижегородское пассажирское автопредприятие N 6 - филиал ГП НО ""Нижегородпассажиравтотранс"" (ул. Удмуртская, 40), рынок автозапчастей (ул. Удмуртская). Кладбище ""Красная Этна"" (ул. Удмуртская). МЛПУ ""Противотуберкулезный диспансер"" (ул. Гвоздильная, 8). Автозаводское отделение ОАО ""Нижегородоблгаз"" (ул. Аксакова, 38) и другие предприятия и организации, находящиеся на обслуживаемой территории.","Улицы: Авиаторская, Аксакова, Алма-Атинская, Ангарская, Армавирская, Белорусская, Волочильная, Воронихина, Газетная, Гвоздильная, Дачная, 2-я Дачная, Днепропетровская, Донбасская, Дружбы - дома с N 1 по N 13 (нечетные), с N 2 по N 40 (четные), Завкомовская, Замковая, Заозерная, Застройщиков, Зейская, Игарская, Ижевская, Ильменская, Кировская - дома с N 17 по N 109 (нечетные), с N 18 по N 110 (четные), Кисловодская, Красногвардейская, Краснознаменная, Красноэтновская, Кременчугская, Лагерная, Лермонтова, Лоцманская, Молодая Гвардия, Минская, Можайская, Национальная, Обводная, Огарева, Палехская, Пермская, Писарева, Пограничников, Подольская, Политотдельская, Порт-Артурская, Премудрова, Ростовская, Рылеева, Севастопольская, Серпуховская, Смоленская, Снежная - дома с N 20 по N 112 (четные), Станкозаводская, Тельмана, Удмуртская, Уржумская, Усольская, Читинская, Юношеская. Шоссе Комсомольское (со стороны территории Ленинского района). Переулки: 2-й Дачный; Каракумский; Красноэтновский. Территории предприятий: ОАО ""Завод ""Красная Этна"" (ул. Порт-Артурская, 1), Нижегородское пассажирское автопредприятие N 6 - филиал ГП НО ""Нижегородпассажиравтотранс"" (ул. Удмуртская, 40), рынок автозапчастей (ул. Удмуртская). Кладбище ""Красная Этна"" (ул. Удмуртская). МЛПУ ""Противотуберкулезный диспансер"" (ул. Гвоздильная, 8). Автозаводское отделение ОАО ""Нижегородоблгаз"" (ул. Аксакова, 38) и другие предприятия и организации, находящиеся на обслуживаемой территории."
4,"Границы участка: Улицы: Авиаторская, Аксакова, Алма-Атинская, Ангарская, Армавирская, Белорусская, Волочильная, Воронихина, Газетная, Гвоздильная, Дачная, 2-я Дачная, Днепропетровская, Донбасская, Дружбы - дома с N 1 по N 13 (нечетные), с N 2 по N 40 (четные), Завкомовская, Замковая, Заозерная, Застройщиков, Зейская, Игарская, Ижевская, Ильменская, Кировская - дома с N 17 по N 109 (нечетные), с N 18 по N 110 (четные), Кисловодская, Красногвардейская, Краснознаменная, Красноэтновская, Кременчугская, Лагерная, Лермонтова, Лоцманская, Молодая Гвардия, Минская, Можайская, Национальная, Обводная, Огарева, Палехская, Пермская, Писарева, Пограничников, Подольская, Политотдельская, Порт-Артурская, Премудрова, Ростовская, Рылеева, Севастопольская, Серпуховская, Смоленская, Снежная - дома с N 20 по N 112 (четные), Станкозаводская, Тельмана, Удмуртская, Уржумская, Усольская, Читинская, Юношеская. Шоссе Комсомольское (со стороны территории Ленинского района). Переулки: 2-й Дачный; Каракумский; Красноэтновский. Территории предприятий: ОАО ""Завод ""Красная Этна"" (ул. Порт-Артурская, 1), Нижегородское пассажирское автопредприятие N 6 - филиал ГП НО ""Нижегородпассажиравтотранс"" (ул. Удмуртская, 40), рынок автозапчастей (ул. Удмуртская). Кладбище ""Красная Этна"" (ул. Удмуртская). МЛПУ ""Противотуберкулезный диспансер"" (ул. Гвоздильная, 8). Автозаводское отделение ОАО ""Нижегородоблгаз"" (ул. Аксакова, 38) и другие предприятия и организации, находящиеся на обслуживаемой территории.","603950, г. Н.Новгород, ул. Памирская, 13",2509116,Илюшина Татьяна Викторовна	Время работы с,"Время работы с 8-00 до 17-00, в пятницу до 16-00
Часы приема граждан и организаций Мировой судья: понедельник, четверг 08.00-10.00; вторник, среда 15.00-17.00. Помощник мирового судьи в течение всего рабочего дня
Границы участка: Проспект Ленина - дома с N 11 по N 45 (нечетные с корпусами), с N 12 по N 18 (четные с корпусами). Площадь Комсомольская. Улицы: Даргомыжского - дома с N 2 по N 14, Дружбы - дома с N 19 по N 35 (нечетные с корпусами), с N 50 по N 60 (четные), Кировская - дома с N 3 по N 15 (нечетные с корпусами), с N 4 по N 16 (четные с корпусами), Радио (кроме домов N 6, 7, 8, 9), Самочкина героя, Снежная - дома с N 1 по N 17а (нечетные), с N 2 по N 18 (четные), Трамвайная, Шлиссельбургская, Шмидта лейтенанта, Энтузиастов. Торговая площадка ""Заречная"" (пр. Ленина, 39). МОУ средние общеобразовательные школы N 100, 123, 180. Территории предприятий: ОАО ""ДСК-1"" (пр. Ленина, 11), ОАО ""НижегородТИСиЗ"" (ул. Энтузиастов, 10), ОАО ""Хладокомбинат ""Заречный"" (пр. Ленина, 31/2), торговые оптовые базы. Нижегородский коммерческий институт (пр. Ленина, 27). ТЦ ""Муравей"" (пр. Ленина, 33). ТЦ ""Океан"" (пр. Ленина, 45а). Пожарная часть (ул. Премудрова, 7а) и другие предприятия и учреждения, находящиеся на обслуживаемой территории.","Проспект Ленина - дома с N 11 по N 45 (нечетные с корпусами), с N 12 по N 18 (четные с корпусами). Площадь Комсомольская. Улицы: Даргомыжского - дома с N 2 по N 14, Дружбы - дома с N 19 по N 35 (нечетные с корпусами), с N 50 по N 60 (четные), Кировская - дома с N 3 по N 15 (нечетные с корпусами), с N 4 по N 16 (четные с корпусами), Радио (кроме домов N 6, 7, 8, 9), Самочкина героя, Снежная - дома с N 1 по N 17а (нечетные), с N 2 по N 18 (четные), Трамвайная, Шлиссельбургская, Шмидта лейтенанта, Энтузиастов. Торговая площадка ""Заречная"" (пр. Ленина, 39). МОУ средние общеобразовательные школы N 100, 123, 180. Территории предприятий: ОАО ""ДСК-1"" (пр. Ленина, 11), ОАО ""НижегородТИСиЗ"" (ул. Энтузиастов, 10), ОАО ""Хладокомбинат ""Заречный"" (пр. Ленина, 31/2), торговые оптовые базы. Нижегородский коммерческий институт (пр. Ленина, 27). ТЦ ""Муравей"" (пр. Ленина, 33). ТЦ ""Океан"" (пр. Ленина, 45а). Пожарная часть (ул. Премудрова, 7а) и другие предприятия и учреждения, находящиеся на обслуживаемой территории."
